Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,contract_length
Amen Thompson,22.0,SF,60.0,32.5,0.553,0.256,0.569,0.693,2.8,5.6,8.3,3.6,1.3,1.3,2.1,2.3,14.0,HOU,9249960,9690600,12258609,0,0,0,18940560,3
Jalen Suggs,23.0,PG,35.0,28.6,0.41,0.314,0.489,0.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,ORL,9188385,35000000,32400000,29600000,26800000,26700000,132988385,6
Caleb Martin,29.0,SF,35.0,29.0,0.431,0.359,0.498,0.62,1.3,2.9,4.2,2.2,1.1,0.6,1.3,1.9,8.5,DAL,9186594,9594044,10001493,9371351,0,0,28782131,4
Gary Payton II,32.0,SG,53.0,14.3,0.573,0.308,0.622,0.73,0.9,2.1,2.9,1.3,0.7,0.3,0.6,1.7,6.3,GSW,9130000,0,0,0,0,0,9130000,1
Stephon Castle,20.0,PG,63.0,25.5,0.425,0.283,0.474,0.713,1.0,2.2,3.2,3.5,0.9,0.2,1.9,2.0,13.4,SAS,9105120,9560520,10015920,12670139,0,0,18665640,4
Tre Jones,25.0,PG,42.0,18.4,0.51,0.357,0.548,0.817,0.7,1.7,2.4,3.8,0.8,0.2,0.7,1.1,6.3,CHI,9104167,0,0,0,0,0,9104167,1
Goga Bitadze,25.0,C,56.0,21.9,0.624,0.13,0.629,0.633,2.5,4.6,7.1,2.0,0.7,1.6,1.2,2.2,7.8,ORL,9057971,8333333,7608696,0,0,0,25000000,3
Zeke Nnaji,24.0,PF,45.0,10.0,0.529,0.324,0.587,0.586,0.5,1.0,1.6,0.3,0.3,0.6,0.2,1.1,3.1,DEN,8888889,8177778,7466667,7466667,0,0,24533334,4
Keegan Murray,24.0,PF,62.0,34.6,0.44,0.334,0.529,0.831,2.0,4.7,6.7,1.4,0.8,0.9,0.8,2.5,12.2,SAC,8809560,11144093,0,0,0,0,19953653,2
Buddy Hield,32.0,SG,66.0,23.2,0.418,0.371,0.546,0.784,0.6,2.7,3.3,1.8,0.9,0.3,1.2,1.7,11.6,GSW,8780488,9219512,9658536,10097560,0,0,27658536,4
Kyle Anderson,31.0,PF,48.0,14.6,0.443,0.368,0.493,0.689,0.9,2.3,3.1,2.2,0.6,0.5,0.5,1.2,5.0,MIA,8780488,9219512,9658536,0,0,0,18000000,3
Naji Marshall,27.0,SF,54.0,26.2,0.497,0.279,0.545,0.848,1.1,3.5,4.6,2.8,1.1,0.1,1.6,1.5,12.4,DAL,8571429,9000000,9428571,0,0,0,27000000,3
Jalen Smith,24.0,C,56.0,15.3,0.466,0.34,0.562,0.823,1.4,4.2,5.6,1.0,0.3,0.7,0.6,1.6,8.3,CHI,8571429,9000000,9428571,0,0,0,27000000,3
Georges Niang,31.0,PF,64.0,21.9,0.468,0.402,0.598,0.792,0.7,3.2,3.9,1.5,0.4,0.2,0.9,2.6,9.8,ATL,8500000,8200000,0,0,0,0,16700000,2
Ausar Thompson,22.0,SF,45.0,21.6,0.55,0.229,0.562,0.596,1.8,3.1,5.0,2.2,1.8,0.5,1.4,2.8,9.5,DET,8376000,8775000,11117925,0,0,0,17151000,3
