Rk,Player,Age,Pos,G,MP,FG%,3P%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
406,Jock Landale,29,C,34,10.4,.459,.375,.486,.686,1.2,1.8,3.0,0.8,0.2,0.3,0.4,1.0,3.8,landajo01
407,Patty Mills,36,PG,23,12.6,.341,.303,.459,.857,0.1,0.8,0.9,1.0,0.6,0.1,0.7,0.8,3.7,millspa02
408,Adem Bona,21,C,46,11.9,.688,,.688,.661,1.2,2.0,3.2,0.3,0.3,0.9,0.7,1.9,3.7,bonaad01
409,Jevon Carter,29,PG,30,7.6,.402,.357,.531,.800,0.1,0.9,0.9,1.0,0.3,0.1,0.3,0.4,3.7,carteje01
410,Luka Garza,26,C,32,6.0,.473,.242,.516,.677,1.0,0.6,1.6,0.3,0.2,0.1,0.3,0.8,3.7,garzalu01
411,Andre Jackson Jr.,23,SG,57,15.8,.467,.397,.547,.556,1.0,1.9,2.9,1.3,0.5,0.2,0.9,1.9,3.7,jacksan01
412,Wendell Moore Jr.,23,SG,27,12.1,.451,.375,.506,.882,0.8,1.6,2.4,1.0,0.4,0.1,0.6,0.8,3.6,moorewe01
413,Steven Adams,31,C,47,12.7,.523,.000,.523,.446,2.7,2.6,5.3,1.2,0.3,0.4,0.9,1.0,3.6,adamsst01
414,Alex Reese,25,PF,6,11.2,.471,.200,.529,.600,1.0,2.2,3.2,0.2,0.8,1.0,0.5,1.2,3.5,reeseal01
415,Jalen Pickett,25,SG,33,11.4,.442,.386,.548,1.000,0.2,1.0,1.2,1.8,0.3,0.1,0.4,0.6,3.5,pickeja02
416,Dario Šarić,30,C,15,13.5,.339,.269,.402,.700,0.9,2.3,3.3,1.5,0.5,0.1,0.9,1.2,3.5,saricda01
417,Dominick Barlow,21,SF,20,8.6,.473,.333,.518,.688,0.5,1.2,1.7,0.3,0.3,0.4,0.1,0.7,3.4,barlodo01
418,Bruno Fernando,26,C,17,8.6,.531,,.531,.750,1.2,1.8,3.0,1.1,0.2,0.5,0.8,1.6,3.4,fernabr01
419,Oso Ighodaro,22,PF,45,14.2,.589,.000,.589,.528,0.8,2.3,3.1,0.9,0.4,0.4,0.6,1.5,3.4,ighodos01
420,Damion Lee,32,SG,17,6.1,.340,.222,.396,.941,0.1,0.7,0.8,0.5,0.2,0.0,0.4,0.3,3.4,leeda03
421,Jae'Sean Tate,29,SF,44,11.0,.452,.294,.492,.674,0.9,1.2,2.1,0.8,0.5,0.1,0.4,1.6,3.4,tateja01
422,Jamal Cain,25,SF,27,11.4,.390,.311,.481,.625,0.7,1.3,2.0,0.6,0.5,0.3,0.4,1.0,3.3,cainja01
423,Collin Gillespie,25,PG,17,6.4,.513,.471,.615,.889,0.5,0.6,1.1,1.3,0.2,0.1,0.3,0.6,3.3,gilleco01
424,DeAndre Jordan,36,C,46,11.5,.651,,.651,.405,1.4,3.3,4.7,0.8,0.3,0.4,0.7,1.2,3.3,jordade01
425,Cam Reddish,25,SF,31,18.1,.430,.289,.506,.615,0.5,1.5,2.0,0.7,1.0,0.3,0.4,1.4,3.3,reddica01
426,Nae'Qwan Tomlin,24,PF,3,4.7,.500,.000,.500,.667,0.3,1.7,2.0,0.0,0.0,0.0,0.3,0.7,3.3,tomlina01
427,Elijah Harkless,24,SG,10,13.8,.314,.280,.414,.500,0.9,1.2,2.1,0.8,1.0,0.1,0.3,1.8,3.2,harklej01
428,Jackson Rowe,28,PF,5,8.6,.400,.222,.467,.500,0.0,1.6,1.6,0.6,0.6,0.0,0.2,0.8,3.2,roweja01
429,Doug McDermott,33,SF,36,7.9,.418,.423,.599,.600,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.8,3.1,mcderdo01
430,Zeke Nnaji,24,PF,45,10.0,.529,.324,.587,.586,0.5,1.0,1.6,0.3,0.3,0.6,0.2,1.1,3.1,nnajize01
431,Duop Reath,28,C,35,7.9,.388,.292,.495,.857,0.5,0.9,1.4,0.5,0.2,0.3,0.3,0.6,3.1,reathdu01
432,JT Thor,22,PF,10,5.0,.556,.500,.667,.875,0.6,0.5,1.1,0.1,0.2,0.3,0.6,0.7,3.1,thorjt01
